Start,End,Open,High,Low,Close,Volume,Market Cap
2025-02-15,2025-02-16,1,1,0.9999,0.9999,6340779876.7735195,51522285364.19512
2025-02-14,2025-02-15,0.9999,1,0.9998,0.9999,6548006190.108014,51519017949.268295
2025-02-13,2025-02-14,0.9999,1,0.9998,0.9999,7700717523.874564,51520723468.04878
2025-02-12,2025-02-13,1,1.0001,0.9998,0.9999,6792522280.749129,51521297958.585365
2025-02-11,2025-02-12,0.9999,1,0.9999,0.9999,5906139114.905923,51522716232.097565
2025-02-10,2025-02-11,0.9999,1,0.9999,0.9999,6074143670.522648,51522321269.85366
2025-02-09,2025-02-10,1,1,0.9998,0.9999,4351125940.923345,51523057335.85366
2025-02-08,2025-02-09,1,1,0.9998,1,7136875947.299651,51521890401.95122
2025-02-07,2025-02-08,0.9999,1,0.9999,0.9999,7942621849.8223,51522841901.902435
2025-02-06,2025-02-07,0.9999,1,0.9998,1,7451376862.080139,51521639062.34146
2025-02-05,2025-02-06,1,1,0.9998,0.9999,10645068166.888502,51522464892.48781
2025-02-04,2025-02-05,0.9999,1.0001,0.9998,1,15808906045.264809,51522949618.87805
2025-02-03,2025-02-04,1,1.0002,0.9998,1,20737754250.780487,51522823949.07317
2025-02-02,2025-02-03,1,1.0003,0.9999,1,7290408000.668989,51526181128.14634
2025-02-01,2025-02-02,1,1.0001,0.9999,1,6815294694.616725,51525660496.097565
2025-01-31,2025-02-01,1,1.0001,0.9999,1.0001,6660978992.195122,51526540184.731705
2025-01-30,2025-01-31,1,1.0001,0.9999,1.0001,7614879270.560976,51525229628.19512
2025-01-29,2025-01-30,0.9999,1.0001,0.9998,1,6756419248.888502,51524547420.68293
2025-01-28,2025-01-29,1.0001,1.0001,0.9998,0.9999,9269197085.912891,51524744901.80488
2025-01-27,2025-01-28,1.0001,1.0001,0.9998,1,9230903495.059233,51524798760.29269
2025-01-26,2025-01-27,0.9999,1.0001,0.9999,1.0001,4823250704.452962,51523039383.02439
2025-01-25,2025-01-26,0.9999,1.0007,0.9999,1,6737874193.5818815,51526396562.09408
2025-01-24,2025-01-25,1,1.0001,0.9998,0.9999,14732551830.41115,51523506156.585365
2025-01-23,2025-01-24,1.0001,1.0002,0.9999,1,13668549387.034843,50315834512.480835
2025-01-22,2025-01-23,1,1.0001,0.9999,1.0001,9701723150.010452,45737889899.36585
2025-01-21,2025-01-22,1.0001,1.0002,0.9999,1.0001,14694730177.463415,45736854081.560974
2025-01-20,2025-01-21,1.0003,1.001,0.9998,1.0001,20918273824.480835,45735929813.36585
2025-01-19,2025-01-20,1,1.002,0.9999,1.0001,12211508389.850174,45736917824.19512
2025-01-18,2025-01-19,1,1.0001,0.9999,1,10839263224.989548,45733619142.87805
2025-01-17,2025-01-18,1,1.0001,0.9999,0.9999,9298930838.449478,45734639025.02439
