Date,Time,Open,High,Low,Close,Volume
04/01/2013,00:00:00,93.25,100.0,92.49999,92.70002,953.45
04/01/2013,04:00:00,93.15501,94.48,93.15501,94.00001,111.09
04/01/2013,08:00:00,93.55,96.0,93.55,96.0,484.43
04/01/2013,12:00:00,96.675,105.9,95.98264,102.2,2431.37
04/01/2013,16:00:00,103.29,104.5,102.0,104.0,841.41
04/01/2013,20:00:00,103.93,105.5,102.23099,103.999,402.65
04/02/2013,00:00:00,104.0,105.6,102.33,104.75,222.33
04/02/2013,04:00:00,104.72,106.0,99.0,102.747,1644.72
04/02/2013,08:00:00,102.77689,107.65,102.77689,106.6,2159.37
04/02/2013,12:00:00,106.50003,108.86,106.201,107.09988488,735.5
04/02/2013,16:00:00,108.0,115.25,107.75147349,115.0,1785.47
04/02/2013,20:00:00,115.0,118.3867,112.1221439,118.22935407,1829.13
04/03/2013,00:00:00,117.95826131,127.0,116.3,123.01621056,1718.21
04/03/2013,04:00:00,123.00054418,145.0,117.99441783,145.0,2490.42
04/03/2013,08:00:00,143.66312025,146.88,124.93767887,139.1,2487.49
04/03/2013,12:00:00,139.29978939,142.0444,130.0,130.0,122.18
04/03/2013,16:00:00,130.0,140.08,110.0,129.91950996,3619.39
04/03/2013,20:00:00,130.0,135.8,101.51088,134.7,2558.57
04/04/2013,00:00:00,134.71656,135.0,119.0,125.5,1653.31
04/04/2013,04:00:00,125.5,133.0,125.5,132.8,824.77
04/04/2013,08:00:00,132.32953043,138.63,130.56083016,137.06,575.8
04/04/2013,12:00:00,138.63,143.0,132.1,135.0,1878.76
04/04/2013,16:00:00,135.0,135.4,128.0,131.989,1208.63
04/04/2013,20:00:00,132.503,136.7,131.0,132.899,840.39
04/05/2013,00:00:00,130.10001,136.42,128.25,135.632,808.46
04/05/2013,04:00:00,136.0,138.006,135.119,137.403,952.36
04/05/2013,08:00:00,138.051,139.8,135.3,138.46,592.96
04/05/2013,12:00:00,137.741,139.0,135.399,137.313,1538.73
04/05/2013,16:00:00,138.0,144.5,137.999,144.0,1086.3
04/05/2013,20:00:00,142.406,145.0,142.04621,142.3,256.07
04/06/2013,00:00:00,142.8,142.99,139.0,142.99,348.16
04/06/2013,04:00:00,142.008,144.0,140.902,143.0,343.44
04/06/2013,08:00:00,142.5,143.0,141.6,141.6,163.7
04/06/2013,12:00:00,141.712,144.0,141.201,143.25,226.69
04/06/2013,16:00:00,143.4,143.4,142.471,142.611,76.82
04/06/2013,20:00:00,143.0,143.65,142.501,143.05,850.32
04/07/2013,00:00:00,143.5,144.5,142.75,144.25,534.79
04/07/2013,04:00:00,144.1,144.98,143.501,144.7,202.11
04/07/2013,08:00:00,144.188,153.9,144.001,153.0,581.62
04/07/2013,12:00:00,152.99,159.506,152.0,159.506,875.39
04/07/2013,16:00:00,159.61,162.75,153.5,158.0,1113.13
04/07/2013,20:00:00,158.1,164.75,158.0,162.304,418.03
04/08/2013,00:00:00,163.9,175.0,163.2,170.002,2075.36
04/08/2013,04:00:00,169.99,180.0,168.0,180.0,617.99
04/08/2013,08:00:00,182.0,186.97,180.0,184.761,953.14
04/08/2013,12:00:00,184.463,194.57,181.803,187.155,3247.53
04/08/2013,16:00:00,184.916,190.002,172.104,190.002,2097.15
04/08/2013,20:00:00,190.002,193.0,179.937,186.985,1904.65
04/09/2013,00:00:00,186.8,200.0,186.8,191.007,228.47
04/09/2013,04:00:00,192.0,205.1,188.898,190.019,261.9
04/09/2013,08:00:00,194.01,224.0,192.096,207.02,993.8
04/09/2013,12:00:00,204.47,227.0,202.937,223.5,1750.85
04/09/2013,16:00:00,223.0,240.2,219.83,232.12,1853.41
04/09/2013,20:00:00,231.15,249.97,228.0,232.99,984.94
04/10/2013,00:00:00,228.669,236.0,227.0,234.887,445.17
04/10/2013,04:00:00,232.0,238.97,230.0,235.785,761.98
04/10/2013,08:00:00,235.1,265.0,235.001,254.012,495.61
04/10/2013,12:00:00,254.995,290.0,232.8,246.89,1387.81
04/10/2013,16:00:00,235.0,244.0,19.9,161.0,4136.76
04/10/2013,20:00:00,161.0,232.75,124.83,162.0,8843.3
04/11/2013,00:00:00,162.0,205.0,148.964,169.999,3639.63
04/11/2013,04:00:00,166.1,188.0,166.1,180.079,2072.21
04/11/2013,08:00:00,180.094,180.98,140.0,162.98,4849.55
04/11/2013,12:00:00,163.008,163.86,15.0,115.0,3897.9
04/11/2013,16:00:00,120.12,130.0,1.06,74.9,1583.84
04/11/2013,20:00:00,74.0,114.0,74.0,100.0,871.53
04/12/2013,00:00:00,109.0,157.0,72.55,108.0,3927.98
04/12/2013,04:00:00,101.0,110.04,84.754,95.386,7180.06
04/12/2013,08:00:00,91.5,94.1,69.931,69.931,6056.38
04/12/2013,12:00:00,68.0,90.0,51.0,70.13,8689.28
04/12/2013,16:00:00,70.339,90.0,67.306,90.0,6246.0
04/12/2013,20:00:00,90.0,120.0,84.936,112.0,6594.25
04/13/2013,00:00:00,112.0,130.0,91.0,104.086,7430.94
04/13/2013,04:00:00,102.99,122.0,99.0,117.479,5589.86
04/13/2013,08:00:00,119.1,123.878,112.0,117.218,2600.5
04/13/2013,12:00:00,116.9,117.02,112.0,114.888,1164.98
04/13/2013,16:00:00,115.096,116.0,91.8,98.01,4113.65
04/13/2013,20:00:00,98.01,110.18,81.12,91.1,2966.75
04/14/2013,00:00:00,91.1,104.0,20.0,102.49,1271.86
04/14/2013,04:00:00,101.0,109.0,100.009,105.421,7083.5
04/14/2013,08:00:00,105.12,106.45,98.0,104.039,3313.14
04/14/2013,12:00:00,102.6,102.6,98.749,99.989,835.42
04/14/2013,16:00:00,99.98,105.0,94.997,94.997,1699.46
04/14/2013,20:00:00,95.164,99.003,85.002,90.171,2233.84
04/15/2013,00:00:00,89.86,96.5,88.8,94.948,1420.97
04/15/2013,04:00:00,93.608,102.0,93.38,100.296,1431.15
04/15/2013,08:00:00,99.0,104.0,96.7,97.179,671.03
04/15/2013,12:00:00,97.1,98.028,94.801,95.75,607.16
04/15/2013,16:00:00,95.49,96.0,87.0,89.5,3491.95
04/15/2013,20:00:00,89.857,89.857,71.497,83.302,8770.87
04/16/2013,00:00:00,84.27,84.48,61.0,61.971,3177.63
04/16/2013,04:00:00,61.17,69.94,0.01,61.436,5717.27
04/16/2013,08:00:00,61.44,66.0,50.15,57.0,1745.28
04/16/2013,12:00:00,57.75,77.937,56.51,70.36,3034.16
04/16/2013,16:00:00,71.006,82.5,60.0,66.503,8814.96
04/16/2013,20:00:00,66.896,73.043,64.0,67.588,3603.25
04/17/2013,00:00:00,68.135,76.5,63.5,73.62,1972.43
04/17/2013,04:00:00,73.62,78.5,72.509,75.0,802.93
04/17/2013,08:00:00,76.605,89.0,75.0,86.0,4009.37
04/17/2013,12:00:00,86.001,98.9,80.3782,91.111,7599.29
04/17/2013,16:00:00,91.013,94.114,80.3782,87.0,2904.94
04/17/2013,20:00:00,88.33,94.001,86.1,93.063,2727.51
04/18/2013,00:00:00,93.0,95.1,87.0,93.509,2256.36
04/18/2013,04:00:00,93.2,93.504,90.21,93.165,331.76
04/18/2013,08:00:00,93.0,93.0,90.991,92.525,120.68
04/18/2013,12:00:00,92.7,98.987,89.1,94.401,1506.01
04/18/2013,16:00:00,94.0,98.987,94.0,96.65,1561.77
04/18/2013,20:00:00,96.2,114.0,94.761,111.3,2585.53
04/19/2013,00:00:00,110.0,120.0,104.56,115.12,2769.06
04/19/2013,04:00:00,115.0,142.0,114.0,129.9,8036.9
04/19/2013,08:00:00,130.0,136.733,110.9,116.7,3912.13
04/19/2013,12:00:00,116.902,120.0,111.0,114.0,2459.89
04/19/2013,16:00:00,115.1,123.5,114.5,119.1,1571.03
04/19/2013,20:00:00,119.1,124.18,112.76,119.0,2134.24
04/20/2013,00:00:00,119.02,119.25,114.9,118.51,2523.71
04/20/2013,04:00:00,119.0,120.5,115.0,120.5,150.38
04/20/2013,08:00:00,120.63,121.0,119.0,119.8,645.78
04/20/2013,12:00:00,119.32,122.5,119.3,121.492,808.8
04/20/2013,16:00:00,121.3,129.0,115.5,125.985,1470.11
04/20/2013,20:00:00,125.985,132.0,124.0,127.0,903.94
04/21/2013,00:00:00,127.01,130.0,124.8,128.6,449.84
04/21/2013,04:00:00,127.01,128.126,120.0,122.0,2615.26
04/21/2013,08:00:00,122.0,123.0688,110.15,122.01,2006.34
04/21/2013,12:00:00,122.3,128.0,120.111,124.5,2142.01
04/21/2013,16:00:00,124.0,124.0,110.0,121.9,2892.56
04/21/2013,20:00:00,121.55,126.1,116.01,117.618,1433.04
04/22/2013,00:00:00,119.96,124.25,119.615,121.0,2022.47
04/22/2013,04:00:00,121.299,125.0,120.541,124.6,600.92
04/22/2013,08:00:00,124.1,124.1,121.42,122.0,597.23
04/22/2013,12:00:00,120.51,123.41,120.02,122.52,821.3
04/22/2013,16:00:00,122.7,126.97,121.6,126.0,1282.42
04/22/2013,20:00:00,125.3,127.3,124.49,126.5,1729.06
04/23/2013,00:00:00,127.389,129.75,124.859,128.01,1640.7
04/23/2013,04:00:00,128.0,128.5,127.0,127.51,120.59
04/23/2013,08:00:00,127.21,127.71,126.5,127.25,806.84
04/23/2013,12:00:00,127.563,137.69,127.563,133.01,3585.48
04/23/2013,16:00:00,133.05,139.36,132.99,137.84,1667.59
04/23/2013,20:00:00,137.39,144.47,137.1,143.484,3745.38
04/24/2013,00:00:00,142.41,147.92,142.2,147.39,2593.8
04/24/2013,04:00:00,147.24,148.49,140.9,143.899,2681.39
04/24/2013,08:00:00,143.899,157.0,143.55,152.86,3388.18
04/24/2013,12:00:00,152.86,166.96,152.01,166.465,5985.84
04/24/2013,16:00:00,166.33,166.99,142.0,153.0,9342.87
04/24/2013,20:00:00,152.0,156.5,148.414,154.6,1892.54
04/25/2013,00:00:00,155.0,157.6,151.5,152.2,654.07
04/25/2013,04:00:00,154.899,169.13,153.0,158.45,1881.77
04/25/2013,08:00:00,157.251,161.73,156.9,157.3,568.77
04/25/2013,12:00:00,157.4,159.896,152.0,155.16,3346.24
04/25/2013,16:00:00,154.99,155.5,144.0,145.2,4046.68
04/25/2013,20:00:00,144.89,148.0,120.03,141.9,11092.2
04/26/2013,00:00:00,142.89,143.985,126.111,134.152,3255.3
04/26/2013,04:00:00,133.0,134.6,121.0,128.1,3575.77
04/26/2013,08:00:00,127.0,134.58,13.0,130.1,1977.82
04/26/2013,12:00:00,132.58,139.0,132.58,134.3,2125.93
04/26/2013,16:00:00,133.69,137.55,131.211,135.279,1393.07
04/26/2013,20:00:00,135.181,139.189,134.7,137.3,951.29
04/27/2013,00:00:00,136.56001,138.19,134.7,136.841,620.22
04/27/2013,04:00:00,136.7,137.83,135.27,137.19,188.73
04/27/2013,08:00:00,136.5,139.384,134.5,136.0,1109.04
04/27/2013,12:00:00,137.0,147.51,121.46,132.5,2124.42
04/27/2013,16:00:00,134.199,135.0,125.2,125.76,2506.09
04/27/2013,20:00:00,126.204,134.0,126.204,128.5,1225.48
04/28/2013,00:00:00,128.8,131.79,128.02,131.5,775.08
04/28/2013,04:00:00,131.78,132.23,129.55,131.98,386.92
04/28/2013,08:00:00,131.6,133.73,130.99,133.5,712.69
04/28/2013,12:00:00,133.71,136.5,132.4,136.43,1307.58
04/28/2013,16:00:00,136.43,136.99,131.4,133.5,3231.2
04/28/2013,20:00:00,133.21,135.29,131.9,135.28,808.63
04/29/2013,00:00:00,134.63,136.61,134.35,136.61,446.28
04/29/2013,04:00:00,136.63,136.63,133.3,135.9,124.58
04/29/2013,08:00:00,136.61,144.0,135.807,142.93,2870.42
04/29/2013,12:00:00,140.3,148.5,113.42,142.7,3769.42
04/29/2013,16:00:00,143.67,145.98,140.0,143.0,1264.44
04/29/2013,20:00:00,142.777,144.89999,141.0,144.0,1016.55
04/30/2013,00:00:00,143.89,146.0,142.201,143.501,1375.5
04/30/2013,04:00:00,142.803,146.0,142.803,145.85,313.68
04/30/2013,08:00:00,144.6,146.49,143.9,145.275,146.17
04/30/2013,12:00:00,144.44,146.6752,136.6601,140.95,4589.09
04/30/2013,16:00:00,141.05,141.051,133.89,136.42,2886.38
04/30/2013,20:00:00,136.7,141.5,136.03,139.88,1605.64
05/01/2013,00:00:00,139.87,140.02,128.01,130.03,2297.3
05/01/2013,04:00:00,130.01,137.0,129.924,133.81,1351.27
05/01/2013,08:00:00,132.52,133.83,127.0,132.5,2225.59
05/01/2013,12:00:00,132.97,132.97,127.1,128.6,905.43
05/01/2013,16:00:00,130.31,130.31,105.0,111.0,11971.12
05/01/2013,20:00:00,110.66,123.9,109.51,116.0,5118.36
05/02/2013,00:00:00,116.75,120.0,90.414,115.714,1594.37
05/02/2013,04:00:00,116.43,125.31,116.0,123.86,1838.96
05/02/2013,08:00:00,123.8,127.18,111.18,115.02,2247.0
05/02/2013,12:00:00,113.776,115.28,91.1,96.431,11516.21
05/02/2013,16:00:00,96.5,108.0,91.0301,104.02,7894.2
05/02/2013,20:00:00,104.975,115.0,101.5,106.6,4821.01
05/03/2013,00:00:00,107.0,108.21,97.2,98.32,3374.62
05/03/2013,04:00:00,98.0,100.343,89.21,94.0,5426.25
05/03/2013,08:00:00,93.605,94.0,80.0,81.3,11961.67
05/03/2013,12:00:00,82.0,98.2,81.0,91.779,8599.58
05/03/2013,16:00:00,90.42,94.5,90.03,90.97,1384.48
